year,month,days,timestamp,fomc_binary
2022,May,3-4,2022-05-04,1
2022,June,14-15*,2022-06-15,1
2022,July,26-27,2022-07-27,1
2022,September,20-21*,2022-09-21,1
2022,November,1-2,2022-11-02,1
2022,December,13-14*,2022-12-14,1
2023,Jan/Feb,31-1,2023-02-01,1
2023,March,21-22*,2023-03-22,1
2023,May,2-3,2023-05-03,1
2023,June,13-14*,2023-06-14,1
2023,July,25-26,2023-07-26,1
2023,September,19-20*,2023-09-20,1
2023,Oct/Nov,31-1,2023-11-01,1
2023,December,12-13*,2023-12-13,1
2024,January,30-31,2024-01-31,1
2024,March,19-20*,2024-03-20,1
2024,Apr/May,30-1,2024-05-01,1
2024,June,11-12*,2024-06-12,1
2024,July,30-31,2024-07-31,1
2024,September,17-18*,2024-09-18,1
2024,November,6-7,2024-11-07,1
2024,December,17-18*,2024-12-18,1
