,daily_ret
2000-03-30,-0.0020705088173192943
2000-03-31,0.0015030228079522256
2000-04-03,-0.011024222418522411
2000-04-04,-0.009807313693006914
2000-04-05,-0.011381903845843477
2000-04-06,0.0022762722152642745
2000-04-07,-0.007118037920705089
2000-04-10,0.0049048467452548206
2000-04-11,0.016788321167883424
2000-04-12,-0.0011155401065476855
2000-04-13,0.0005484638756159121
2000-04-14,-0.037667319736995
2000-04-17,0.01693144141171299
2000-04-18,-0.0011646952477343264
2000-04-19,0.004931071357436645
2000-04-20,-0.003729225156298255
2000-04-24,0.0211737142702626
2000-04-25,0.02223741662387324
2000-04-26,-0.0027254535715375283
2000-04-27,0.012931654259143333
2000-04-28,-0.00027474666068327824
2000-05-01,0.009015999230497895
2000-05-02,0.029215847736225653
2000-05-03,-0.0011317555796078738
2000-05-04,0.012024508236823328
2000-05-05,0.008464444968018459
2000-05-08,0.01811157164242405
2000-05-09,0.002338090822632255
2000-05-10,0.014347709589672908
2000-05-11,0.011557562529623366
2000-05-12,-0.013615414937125037
2000-05-15,-0.02406119855264177
2000-05-16,-0.0019229068858093168
2000-05-17,0.007312523061282716
2000-05-18,-0.000256155195894725
2000-05-19,0.0006012648768216611
2000-05-22,-0.0002560668641795605
2000-05-23,-0.016461632639470647
2000-05-24,-0.006257877686225877
2000-05-25,-0.019810810645548238
2000-05-26,-0.003678816504767757
2000-05-30,-0.00026834303542488946
2000-05-31,0.009899147513760864
2000-06-01,0.010675658435630675
2000-06-02,0.0005732889428868848
2000-06-05,0.009903280067283582
2000-06-06,-0.01726315643369225
2000-06-07,0.010682847770743464
2000-06-08,0.006403795462842865
2000-06-09,0.0121455065531062
2000-06-12,-0.008402835356730365
2000-06-13,0.0152498156031311
2000-06-14,-0.010641260734735702
2000-06-15,0.004586717630195913
2000-06-16,0.010292704956454735
2000-06-19,-0.0026820384849621792
2000-06-20,-0.0026969055751356885
2000-06-21,-0.010110683673582477
2000-06-22,-0.001893578803633722
2000-06-23,-0.001893718705953007
2000-06-26,-0.01079323021205092
2000-06-27,0.02354330653593162
2000-06-28,-0.009519799320648836
2000-06-29,0.0014417807717148623
2000-06-30,0.020988522829915812
2000-07-03,-0.006191997463153354
2000-07-05,0.0397188687539356
2000-07-06,0.0005909306831779482
2000-07-07,0.013159204183015083
2000-07-10,-0.008437717887156748
2000-07-11,0.008848925186064394
2000-07-12,0.0014181543067786073
2000-07-13,0.0022447762537551874
2000-07-14,-0.011849095640389273
2000-07-17,0.0031260169496338808
2000-07-18,0.0056638224855614094
2000-07-19,0.004773580716471493
2000-07-20,-0.013729097712937843
2000-07-21,-0.0019368801131279811
2000-07-24,0.0006051279715524327
2000-07-25,0.006441040580831725
2000-07-26,-0.014466627899463735
2000-07-27,0.010716673987582803
2000-07-28,0.01246630044797592
2000-07-31,0.0065508128453590775
2000-08-01,0.015056329959900694
2000-08-02,0.013955905452561534
